place_id,name_cln,text,unknown_uncertain,geog_name,address,settlement,region,country,continent,modern_french_region,name_n_ids
place_127,Hotel de Lille,Hotel de Lille,,,Hotel de Lille,Paris,Paris,France,,Ile-de-France,obj1227-pl-713
place_128,Hotel du Nord,Hotel du Nord,,,Hotel du Nord,Paris,Paris,France,,Ile-de-France,obj1000-pl-369
place_129,Hotel Montmorency,Hotel Montmorency,,,Hotel Montmorency,Paris,Paris,France,,Ile-de-France,obj1482-pl-307
place_130,Hotel rue comedle,Hotel rue comedle,,,Hotel Rue Comedle,Paris,Paris,France,,Ile-de-France,obj1238-pl-726
place_131,Hudson’s Bay,Hudson’s Bay,,Hudson’s Bay,,,,,,,obj1395-pl-131
place_132,Hyde Park,Hyde Park,,,Hyde Park,London,London,England,,,obj1320-pl-20
place_133,Illinois,Illinois,,,,,Illinois,United States of America,,,obj868-pl-179
place_134,India,India,,,,,,India,,,obj1043-pl-433
place_135,Iona,Iona,,,,Iona,Hebrides,Scotland,,,obj836-pl-123
place_136,Ireland,Ireland,,,,,,Ireland,,,obj769-pl-27 || obj789-pl-63 || obj836-pl-122 || obj853-pl-154 || obj854-pl-158 || obj911-pl-249 || obj980-pl-349 || obj994-pl-362 || obj1215-pl-703 || obj1233-pl-717 || obj1288-pl-830 || obj1538-pl-424 || obj1628-pl-582 || obj1801-pl-865
place_137,The Island of France and Bourbon,The Island of France and Bourbon,,,,,,Réunion Island,,,obj1849-pl-930
place_138,Italy,Italy,,,,,,Italy,,,obj798-pl-73 || obj936-pl-266 || obj983-pl-351 || obj1075-pl-466 || obj1447-pl-228 || obj1473-pl-281 || obj1475-pl-288 || obj1530-pl-404 || obj1607-pl-550 || obj1610-pl-554
place_139,Jubingen,Jubingen,,,,Jubingen,,Germany,,,obj1142-pl-597
place_140,Kentucky,Kentucky,,,,,Kentucky,United States of America,,,obj1263-pl-778 || obj1846-pl-922
place_141,Lexington KY,Lexington KY,,,,Lexington,Kentucky,United States of America,,,obj763-pl-18
place_142,"Lindvitis, Kerriemuir","Lindvitis, Kerriemuir",,,Lindertis,Kirriemuir,Forfarshire,Scotland,,,obj1061-pl-452
place_143,Kinderhook,Kinderhook,,,,Kinderhook,New York state,United States of America,,,obj1785-pl-854
place_144,Kingston,Kingston,Kingston,,,,,,,,obj1408-pl-153
place_145,la Commune de Chailly,la Commune de Chailly,,,Chailly-en-Bière,Paris,Paris,France,,Ile-de-France,add1181-pl-001
