name_d_id,short_name
ppl:jgrah,jgraham
ppl:jgreen,jgreen
ppl:jgreig,jgreig
ppl:jgschwartz,jgschwartz
ppl:jharlan,jharlan
ppl:jhdpetetin,jhdpetetin
ppl:jhenry,jhenry
ppl:jhl,jhlawrence
ppl:jhone,jhone
ppl:jhos,jhosack
ppl:jhowa,jhoward
ppl:jhp,jhpayne
ppl:jhredfield,jhredfield
ppl:jhs,jhstone
ppl:jjack,jjackson
ppl:jjambler,jjambler
ppl:jjamis,jjamis
ppl:jjastor,jjastor
ppl:jjaudubon,jjaudubon
ppl:jjjacotot,jjjacotot
ppl:jjlwhittemore,jjlwhittemore
ppl:jkb,jkblair
ppl:jkkane,jkkane
ppl:jlakanal,jlakanal
ppl:jlcabell,jlcabell
ppl:jlefarm,jlefarm
ppl:jlfdecheverus,jlfdecheverus
ppl:jlgrange,jdelagrange
ppl:jlmiller,jlmiller
ppl:jlrdechaumont,jlrdechaumont
ppl:jlstephenson,jlstephenson
ppl:jluke,jluke
ppl:jmarshall,jmarshall
ppl:jmcabell,jmcabell
ppl:jmch,jmchenry
ppl:jmdgerando,jmdegerando
ppl:jmea,jmease
ppl:jmg,jmglassell
ppl:jmmason,jmmason
ppl:jmmatthews,jmmatthews
ppl:jmmorris,jmmorris
ppl:jmonroe,jmonroe
ppl:jmorton,jmorton
ppl:jmoshare,jmoshare
ppl:jmrp,jmrpriestley
ppl:jmtanner,jmtanner
ppl:jnh,jnhalle
ppl:jocham,jochambers
ppl:jocroghan,jocroghan
ppl:jodavis,jodavis
ppl:johnbanim,johnbanim
ppl:johncmont,jocmontgomery
ppl:johnlocke,johnlocke
ppl:johnmarshall,johnmarshall
ppl:johnmcneill,johnmcneill
ppl:johnmilton,johnmilton
ppl:johntownsend,johntownsend
ppl:josnbonap,josnbonaparte
ppl:jost,jstory
ppl:jostorrey,jostorrey
ppl:jpar,jpabelremusat
ppl:jpaynet,jpaynet
ppl:jpbeckan,jpbeckan
ppl:jpbiot,jpbiot
ppl:jpboudet,jpboudet
ppl:jpbouviere,jpbouviere
ppl:jpboyd,jpboyd
ppl:jpchazal,jpchazal
ppl:jpcmacmahon,jpcmacmahon
ppl:jpcurran,jpcurran
ppl:jpeace,jpeace
ppl:jpenington,jpenington
ppl:jpespy,jpespy
ppl:jpeuchet,jpeuchet
ppl:jpickering,jpickering
ppl:jplay,jplayfair
ppl:jqa,jqaadams
ppl:jqt,jquincy
ppl:jrbroadhead,jrbroadhead
ppl:jreid,jreid
ppl:jrfenwick,jrfenwick
ppl:jrichar,mrrichards
ppl:jrkidd,jrkidd
ppl:jrobertson,jrobertson
ppl:jrodman,jrodman
ppl:jroose,jroosevelt
ppl:jrpoinsett,jrpoinsett
ppl:jrussell,jrussell
ppl:jsargeant,jsargeant
ppl:jschorfield,jschorfield
ppl:jslidell,jslidell
ppl:jsmith,jsmith
ppl:jsrobertson,jsrobertson
ppl:jstidell,jstidell
ppl:jswharton,jswharton
ppl:jtadams,jtadams
ppl:jtallmadge,jtallmadge
ppl:jtaylor,jtaylor
ppl:jtb,jtbuckingham
ppl:jtduane,jtduane
ppl:jtducatel,jtducatel
ppl:jtenna,jtennant
ppl:jthompson,jthompson
ppl:jtk,jtkirkland
ppl:jtspencer,jtspencer
ppl:_juarros,juarros
ppl:_jubringen,jubringen
ppl:judgeblack,judgeblack
ppl:judgesmit,judgesmit
ppl:judgetrumbull,judgetrumbull
ppl:justicesummers,justicesummers
ppl:jvanderlyn,jvanderlyn
ppl:jvau,jvaughan
ppl:jvdstenp,jvdstenpselau
ppl:jvp,jvpraet
ppl:jwbeckman,jwbeckman
ppl:jwcroker,jwcroker
ppl:jwfran,jwfrancis
ppl:jwhitej,jwhitej
